goodsNo,리뷰번호,리뷰타입,작성자,리뷰내용,평점,체험단,구매옵션,키,몸무게,성별,작성일,만족도,사진유무,도움돼요,브랜드,카테고리,구매사이즈,구매상세,연도,월,일,요일,평점_raw,만족도_응답여부,사이즈,화면대비색감,퀄리티,구김,두께감,신축성,보온성,퀄리티_점수,보온성_점수,신축성_점수,두께감_점수,구김_점수,사이즈_편차,사이즈_편차절대,화면대비색감_편차,화면대비색감_편차절대
994588,84846959,style,하기싫다닉네임,구김은 아무래도 소재 특성상 생길수밖에 없고 조금 잘 생기는거 같아요 린넨치고 얇거나 부들부들한건 아니고 조금 질감이 더 있는거 같아요 오버핏이라 넉넉해서 네이비색 잘 입고 다니다가 맘에 들어서 이번엔 화이트로 샀는데 좋습니다 ㅎㅎ,5.0,False,L(린넨),170.0,97.0,남성,2026-05-30 22:59:18,사이즈: 정사이즈 / 화면 대비 색감: 화면과 비슷 / 퀄리티: 보통 / 구김: 많음,True,0,filluminate,상의,L,(린넨),2026,5,30,토,5,응답,정사이즈,화면과 비슷,보통,많음,,,,3.0,,,,2.0,0.0,0.0,0.0,0.0
994588,84840454,general,슥와서쇽,"옥스포트 재질 정말 좋고요 고급진 남방 재질입니다 두께감은 약간 있지만 통풍 괜찮음 셔츠말고 아우터로 추천 정말 예쁩니다 172 68 남 기준 M 정말 예쁜 세미오버핏 ~ 오버핏 나와요 실측 참고하세요 상품 페이지보다 앞 총장 짧음 필루미네이트 화이트 남방 옥스포드M 총장 앞뒤 72, 78. 가슴단면 67. 어깨56 팔60.5",5.0,False,M(옥스포드),171.0,68.0,남성,2026-05-30 17:53:20,사이즈: 정사이즈 / 화면 대비 색감: 밝음 / 퀄리티: 매우 좋음 / 구김: 전혀 없음,True,0,filluminate,상의,M,(옥스포드),2026,5,30,토,5,응답,정사이즈,밝음,매우 좋음,전혀 없음,,,,5.0,,,,5.0,0.0,0.0,1.0,1.0
994588,84836095,style,산만한옐로우아트,정장에 입으려고 샀는데 그냥 셔츠하나만 입어도 이뻐요,5.0,False,M(린넨),177.0,65.0,남성,2026-05-30 14:13:21,사이즈: 정사이즈 / 화면 대비 색감: 화면과 비슷 / 퀄리티: 보통 / 구김: 약간 있음,True,0,filluminate,상의,M,(린넨),2026,5,30,토,5,응답,정사이즈,화면과 비슷,보통,약간 있음,,,,3.0,,,,3.0,0.0,0.0,0.0,0.0
994588,84836071,general,산만한옐로우아트,흰색 와이셔츠 필요해서 가격 저렴하게 잘 구매했어요.,5.0,False,M(린넨),177.0,65.0,남성,2026-05-30 14:11:49,사이즈: 정사이즈 / 화면 대비 색감: 화면과 비슷 / 퀄리티: 보통 / 구김: 약간 있음,True,0,filluminate,상의,M,(린넨),2026,5,30,토,5,응답,정사이즈,화면과 비슷,보통,약간 있음,,,,3.0,,,,3.0,0.0,0.0,0.0,0.0
994588,84828091,style,나는내일도출근한다,예뻐요 마감도 좋고 가성비 좋은 셔츠에요 한여름은 덥겠지만 5월말까지는 좋았어요,5.0,False,L(린넨),180.0,77.0,남성,2026-05-30 00:57:59,사이즈: 조금 큼 / 화면 대비 색감: 화면과 비슷 / 퀄리티: 좋음 / 구김: 거의 없음,True,0,filluminate,상의,L,(린넨),2026,5,30,토,5,응답,조금 큼,화면과 비슷,좋음,거의 없음,,,,4.0,,,,4.0,1.0,1.0,0.0,0.0
994588,84828076,general,나는내일도출근한다,린넨 소재도 좋고 너무 얇지않아서 구김도 잘 안생겨서 좋아요,5.0,False,L(린넨),180.0,77.0,남성,2026-05-30 00:56:36,사이즈: 조금 큼 / 화면 대비 색감: 화면과 비슷 / 퀄리티: 매우 좋음 / 구김: 거의 없음,True,0,filluminate,상의,L,(린넨),2026,5,30,토,5,응답,조금 큼,화면과 비슷,매우 좋음,거의 없음,,,,5.0,,,,4.0,1.0,1.0,0.0,0.0
994588,84821045,style,고상한여의도향수,린넨 혼방인데 생각보다는 두께가 있어서 시원한 맛은 덜하지만 대신 각이 잘 잡혀있어서 경조사에 입기는 더 좋은거 같아요.,5.0,False,M(린넨),180.0,78.0,남성,2026-05-29 18:47:00,사이즈: 조금 큼 / 화면 대비 색감: 화면과 비슷 / 퀄리티: 보통 / 구김: 약간 있음,True,0,filluminate,상의,M,(린넨),2026,5,29,금,5,응답,조금 큼,화면과 비슷,보통,약간 있음,,,,3.0,,,,3.0,1.0,1.0,0.0,0.0
994588,84821007,general,고상한여의도향수,저 처럼 경조사에나 셔츠 입는 사람들은 너무 비싼거 부담스러운데 가성비 좋아요.,5.0,False,M(린넨),180.0,78.0,남성,2026-05-29 18:45:19,사이즈: 조금 큼 / 화면 대비 색감: 화면과 비슷 / 퀄리티: 보통 / 구김: 약간 있음,True,0,filluminate,상의,M,(린넨),2026,5,29,금,5,응답,조금 큼,화면과 비슷,보통,약간 있음,,,,3.0,,,,3.0,1.0,1.0,0.0,0.0
994588,84807156,general,소심한오사카보그,린넨 소재여서 시원했고요 마감이 진짜 깔끔했습니다.,5.0,False,M(린넨),170.0,58.0,남성,2026-05-29 01:15:54,사이즈: 조금 큼 / 화면 대비 색감: 화면과 비슷 / 퀄리티: 매우 좋음 / 구김: 약간 있음,False,0,filluminate,상의,M,(린넨),2026,5,29,금,5,응답,조금 큼,화면과 비슷,매우 좋음,약간 있음,,,,5.0,,,,3.0,1.0,1.0,0.0,0.0
994588,84802640,general,너 내 도도도도독,중요한 자리에서 잘 입었습니다 옥스포드 셔츠 찾으시면 추천해요~,4.0,False,S(옥스포드),166.0,100.0,여성,2026-05-28 22:07:07,사이즈: 정사이즈 / 화면 대비 색감: 화면과 비슷 / 퀄리티: 보통 / 구김: 약간 있음,False,0,filluminate,상의,S,(옥스포드),2026,5,28,목,4,응답,정사이즈,화면과 비슷,보통,약간 있음,,,,3.0,,,,3.0,0.0,0.0,0.0,0.0
994588,84780197,general,Left eunchea,완전 커요!! 근데 이렇게 큰 걸 원했어서ㅋㅋ 전 만족해용~,5.0,False,L(옥스포드),162.0,42.0,여성,2026-05-27 23:05:04,사이즈: 많이 큼 / 화면 대비 색감: 화면과 비슷 / 퀄리티: 매우 좋음 / 구김: 약간 있음,False,0,filluminate,상의,L,(옥스포드),2026,5,27,수,5,응답,많이 큼,화면과 비슷,매우 좋음,약간 있음,,,,5.0,,,,3.0,2.0,2.0,0.0,0.0
994588,84776183,general,밝은청색고프코어,두꺼워요 근데 진짜 엄청 벙벙 길거 큽니다 167cm인데 66반-77사이즌 인데도 크게 입는다고 쳐도 커요,3.0,False,S(린넨),167.0,61.0,여성,2026-05-27 21:20:05,사이즈: 많이 큼 / 화면 대비 색감: 화면과 비슷 / 퀄리티: 좋음 / 구김: 거의 없음,False,0,filluminate,상의,S,(린넨),2026,5,27,수,3,응답,많이 큼,화면과 비슷,좋음,거의 없음,,,,4.0,,,,4.0,2.0,2.0,0.0,0.0
994588,84773542,general,저명한라임모델,다리가 길어보이는 세미 크롭느낌이라 좋아요 데일리로 입기도 좋은거 같습니다,5.0,False,M(린넨),178.0,63.0,남성,2026-05-27 20:12:57,사이즈: 조금 큼 / 화면 대비 색감: 화면과 비슷 / 퀄리티: 매우 좋음 / 구김: 거의 없음,False,0,filluminate,상의,M,(린넨),2026,5,27,수,5,응답,조금 큼,화면과 비슷,매우 좋음,거의 없음,,,,5.0,,,,4.0,1.0,1.0,0.0,0.0
994588,84772935,general,dapen,어우 두꺼워 린넨이 아니라 옥스포드로 잘못 왔나 했어요 여름에는 절대 입을 수 없습니다 카라 각도가 좀 이상?해요 자연스럽게 브이로 떨어져야 하는데 앞으로 쭉 뻗는 느낌,4.0,False,S(린넨),165.0,50.0,여성,2026-05-27 19:51:33,사이즈: 조금 큼 / 화면 대비 색감: 화면과 비슷 / 퀄리티: 좋음 / 구김: 약간 있음,False,0,filluminate,상의,S,(린넨),2026,5,27,수,4,응답,조금 큼,화면과 비슷,좋음,약간 있음,,,,4.0,,,,3.0,1.0,1.0,0.0,0.0
994588,84739636,general,강또아빠,두께감이 있습니다 구김은 잘 가는 편이지만 마감응 괜찮습니다,5.0,False,XL(옥스포드),184.0,76.0,남성,2026-05-26 06:51:30,사이즈: 정사이즈 / 화면 대비 색감: 매우 밝음 / 퀄리티: 좋음 / 구김: 많음,False,0,filluminate,상의,XL,(옥스포드),2026,5,26,화,5,응답,정사이즈,매우 밝음,좋음,많음,,,,4.0,,,,2.0,0.0,0.0,2.0,2.0
