goodsNo,리뷰번호,리뷰타입,작성자,리뷰내용,평점,체험단,구매옵션,키,몸무게,성별,작성일,만족도,사진유무,도움돼요,브랜드,카테고리,구매사이즈,구매상세,연도,월,일,요일,평점_raw,만족도_응답여부,사이즈,화면대비색감,퀄리티,구김,두께감,신축성,보온성,퀄리티_점수,보온성_점수,신축성_점수,두께감_점수,구김_점수,사이즈_편차,사이즈_편차절대,화면대비색감_편차,화면대비색감_편차절대,리뷰내용_clean,리뷰내용_norm,laugh_count,cry_count,exclamation_count,question_count,emoji_count,has_repetition,text_length_orig,한글_글자수,전체_글자수,is_valid_for_topic,작성자_norm,옵션키,세션,long_gap_review,그룹크기,action,dup_flag,is_base,kept_id
5458361,81268506,style,적립금을 달ㄹ,따뜻하고 이쁘고 좋아요~ 사이즈는 후기 보고 M도 크다고 오버사이즈라해서 S샀는데 좋네요! 원래는 M 입습니다!,5.0,False,S,167.0,67.0,남성,2025-12-26 19:18:03,사이즈: 조금 큼 / 화면 대비 색감: 화면과 비슷 / 퀄리티: 좋음 / 보온성: 좋음,True,0,filluminate,아우터,S,,2025,12,26,금,5,응답,조금 큼,화면과 비슷,좋음,,,,좋음,4.0,4.0,,,,1.0,1.0,0.0,0.0,따뜻하고 이쁘고 좋아요~ 사이즈는 후기 보고 M도 크다고 오버사이즈라해서 S샀는데 좋네요! 원래는 M 입습니다!,따뜻하고이쁘고좋아요사이즈는후기보고m도크다고오버사이즈라해서s샀는데좋네요원래는m입습니다,0,0,2,0,0,False,62,43,62,True,적립금을 달ㄹ,"('S', None)",0,False,2.0,drop,multi_type_dup,False,81267704
994588,84715263,general,기발한라임목도리,생각보다 데일리 허게 입을 수 있어서 좋아요 정장같은 느낌의 셔츠가 아닙니다 한번입고 말지라는 생각이였는데 자주입게 되네요,4.0,False,M(린넨),170.0,58.0,남성,2026-05-24 23:54:58,사이즈: 조금 큼 / 화면 대비 색감: 화면과 비슷 / 퀄리티: 좋음 / 구김: 약간 있음,False,0,filluminate,상의,M,(린넨),2026,5,24,일,4,응답,조금 큼,화면과 비슷,좋음,약간 있음,,,,4.0,,,,3.0,1.0,1.0,0.0,0.0,생각보다 데일리 허게 입을 수 있어서 좋아요 정장같은 느낌의 셔츠가 아닙니다 한번입고 말지라는 생각이였는데 자주입게 되네요,생각보다데일리허게입을수있어서좋아요정장같은느낌의셔츠가아닙니다한번입고말지라는생각이였는데자주입게되네요,0,0,0,0,0,False,68,53,68,True,기발한라임목도리,"('M', '(린넨)')",0,False,2.0,drop,same_option_same_type_dup,False,﻿84715263
4969807,84718777,general,강생잉,좋아요 아주 좋아요 좋아요 아주 좋아요 좋아요 아주 좋아요,5.0,False,BROWN · L,178.0,78.0,남성,2026-05-25 09:05:48,사이즈: 정사이즈 / 화면 대비 색감: 화면과 비슷 / 퀄리티: 보통 / 신축성: 적당함,False,0,filluminate,하의,L,BROWN,2026,5,25,월,5,응답,정사이즈,화면과 비슷,보통,,,적당함,,3.0,,3.0,,,0.0,0.0,0.0,0.0,좋아요 아주 좋아요 좋아요 아주 좋아요 좋아요 아주 좋아요,좋아요아주좋아요좋아요아주좋아요좋아요아주좋아요,0,0,0,0,0,False,32,24,32,True,강생잉,"('L', 'BROWN')",0,False,2.0,drop,multi_option_dup,False,84718773
6108854,84722779,general,네잎클로버네잎,좋아요 ㅎㅎ 감사합니다 또 구매하고 싶습니다 좋아요,5.0,False,L,182.0,80.0,남성,2026-05-25 13:07:32,사이즈: 정사이즈 / 화면 대비 색감: 화면과 비슷 / 퀄리티: 보통 / 구김: 약간 있음,True,0,filluminate,상의,L,,2026,5,25,월,5,응답,정사이즈,화면과 비슷,보통,약간 있음,,,,3.0,,,,3.0,0.0,0.0,0.0,0.0,좋아요 ㅎㅎ 감사합니다 또 구매하고 싶습니다 좋아요,좋아요감사합니다또구매하고싶습니다좋아요,2,0,0,0,0,False,28,20,28,True,네잎클로버네잎,"('L', None)",0,False,2.0,drop,multi_type_dup,False,84722790
4969807,84731561,general,Dbjesj,생각보다 두껍고 까슬거리긴 한데 입다보면 또 괜찮아요,5.0,False,BLACK · L,173.0,85.0,남성,2026-05-25 20:22:32,사이즈: 정사이즈 / 화면 대비 색감: 화면과 비슷 / 퀄리티: 보통 / 신축성: 적당함,True,0,filluminate,하의,L,BLACK,2026,5,25,월,5,응답,정사이즈,화면과 비슷,보통,,,적당함,,3.0,,3.0,,,0.0,0.0,0.0,0.0,생각보다 두껍고 까슬거리긴 한데 입다보면 또 괜찮아요,생각보다두껍고까슬거리긴한데입다보면또괜찮아요,0,0,0,0,0,False,29,23,29,True,Dbjesj,"('L', 'BLACK')",0,False,3.0,drop,multi_option_dup,False,84731537
4969807,84738176,style,장덕순,얇고 와이드해서 여름에 입기 좋습니다. 스트링이라 편해요!,5.0,False,INDIGO · XL,184.0,83.0,남성,2026-05-26 01:04:37,사이즈: 정사이즈 / 화면 대비 색감: 화면과 비슷 / 퀄리티: 보통 / 신축성: 적당함,True,0,filluminate,하의,XL,INDIGO,2026,5,26,화,5,응답,정사이즈,화면과 비슷,보통,,,적당함,,3.0,,3.0,,,0.0,0.0,0.0,0.0,얇고 와이드해서 여름에 입기 좋습니다. 스트링이라 편해요!,얇고와이드해서여름에입기좋습니다스트링이라편해요,0,0,1,0,0,False,32,24,32,True,장덕순,"('XL', 'INDIGO')",0,False,2.0,drop,multi_type_dup,False,84738172
4969807,84742009,general,inb1,소재도 시원하고 사이즈도 딱 맞아요 너무 이쁩니다 잘입고 다닐거같아요,5.0,False,BROWN · L,173.0,70.0,남성,2026-05-26 10:39:36,사이즈: 정사이즈 / 화면 대비 색감: 화면과 비슷 / 퀄리티: 좋음 / 신축성: 적당함,False,0,filluminate,하의,L,BROWN,2026,5,26,화,5,응답,정사이즈,화면과 비슷,좋음,,,적당함,,4.0,,3.0,,,0.0,0.0,0.0,0.0,소재도 시원하고 사이즈도 딱 맞아요 너무 이쁩니다 잘입고 다닐거같아요,소재도시원하고사이즈도딱맞아요너무이쁩니다잘입고다닐거같아요,0,0,0,0,0,False,38,30,38,True,inb1,"('L', 'BROWN')",0,False,3.0,drop,multi_option_dup,False,84741997
4969807,84742018,general,inb1,소재도 시원하고 사이즈도 딱 맞아요 너무 이쁩니다 잘입고 다닐거같아요,5.0,False,INDIGO · L,173.0,70.0,남성,2026-05-26 10:40:03,사이즈: 정사이즈 / 화면 대비 색감: 화면과 비슷 / 퀄리티: 좋음 / 신축성: 적당함,False,0,filluminate,하의,L,INDIGO,2026,5,26,화,5,응답,정사이즈,화면과 비슷,좋음,,,적당함,,4.0,,3.0,,,0.0,0.0,0.0,0.0,소재도 시원하고 사이즈도 딱 맞아요 너무 이쁩니다 잘입고 다닐거같아요,소재도시원하고사이즈도딱맞아요너무이쁩니다잘입고다닐거같아요,0,0,0,0,0,False,38,30,38,True,inb1,"('L', 'INDIGO')",0,False,3.0,drop,multi_option_dup,False,84741997
5092725,84742252,style,프륭,얇고 시원해서 여름에 출근할 때 입기 좋을 것 같아요,5.0,False,BLACK · M,165.0,75.0,남성,2026-05-26 10:56:10,사이즈: 정사이즈 / 화면 대비 색감: 화면과 비슷 / 퀄리티: 보통 / 신축성: 적당함,True,1,filluminate,하의,M,BLACK,2026,5,26,화,5,응답,정사이즈,화면과 비슷,보통,,,적당함,,3.0,,3.0,,,0.0,0.0,0.0,0.0,얇고 시원해서 여름에 출근할 때 입기 좋을 것 같아요,얇고시원해서여름에출근할때입기좋을것같아요,0,0,0,0,0,False,29,21,29,True,프륭,"('M', 'BLACK')",0,False,2.0,drop,multi_type_dup,False,84742245
4969807,84747408,general,choiys204,린넨 소재의 특유의 시원함이 좋고 오버핏이라 편해요,5.0,False,LIGHT BLUE · L,168.0,76.0,남성,2026-05-26 15:25:03,사이즈: 정사이즈 / 화면 대비 색감: 화면과 비슷 / 퀄리티: 보통 / 신축성: 적당함,False,0,filluminate,하의,L,LIGHT BLUE,2026,5,26,화,5,응답,정사이즈,화면과 비슷,보통,,,적당함,,3.0,,3.0,,,0.0,0.0,0.0,0.0,린넨 소재의 특유의 시원함이 좋고 오버핏이라 편해요,린넨소재의특유의시원함이좋고오버핏이라편해요,0,0,0,0,0,False,28,22,28,True,choiys204,"('L', 'LIGHT BLUE')",0,False,2.0,drop,multi_option_dup,False,84747404
